city,school,menu_name,menu_date
부산광역시,명호고등학교,혼합15곡잡곡밥(추천)  (5.)<br/>비빔막국수(안)  (3.5.6.13.16.18.)<br/>돼지고기김치찌개1  (5.6.9.10.13.)<br/>아몬드멸치볶음1  (4.5.6.13.14.)<br/>햄에그까스*칠리소스  (1.2.5.6.10.12.13.15.18.)<br/>깍두기(명호)  (9.),20220516
부산광역시,명호고등학교,귀리밥  <br/>고사리육개장(제주향토음식a)  (5.6.13.16.18.)<br/>꽁치무조림1  (5.6.13.16.18.)<br/>오이부추겉절이  (5.6.13.)<br/>스모크햄전*케첩  (1.2.5.6.10.12.16.)<br/>김치(명호)  (9.),20220517
부산광역시,명호고등학교,잡채밥(자장)  (1.2.4.5.6.9.10.12.13.15.16.17.18.19.)<br/>잔파계란국  (1.5.6.13.)<br/>소떡소떡  (1.2.5.6.10.12.13.15.16.)<br/>단무지  (13.)<br/>골드파인애플바/생과  ,20220518
부산광역시,명호고등학교,클로렐라쌀밥  <br/>등뼈김치찜(a)*  (5.6.9.10.13.)<br/>감자수제비국  (1.5.6.9.13.16.17.18.)<br/>숙주나물무침1  (5.)<br/>하트연근전  (1.2.5.6.16.18.)<br/>깍두기(명호)  (9.),20220519
부산광역시,명호고등학교,참치생채소비빔밥  (5.6.13.18.)<br/>인절미토스트  (1.2.3.4.5.6.)<br/>팽이장국  (5.6.13.)<br/>감자조림(a)  (5.6.)<br/>김치(명호)  (9.),20220520
부산광역시,명호고등학교,검정쌀밥1  <br/>북어콩나물국1  (5.6.13.18.)<br/>고등어김치조림(오븐)  (5.6.7.9.13.)<br/>브로콜리숙회&초장  (5.6.13.)<br/>탕수만두(만두추가a)  (1.2.5.6.10.11.12.13.18.)<br/>김치(명호)  (9.),20220523
부산광역시,명호고등학교,렌틸콩밥  (5.)<br/>해물탕  (5.6.8.9.13.18.)<br/>미역초무침(a)  (5.6.13.)<br/>푸실리샐러드  (1.2.5.6.7.9.12.13.18.)<br/>치즈돈가스  (1.2.5.6.10.12.13.)<br/>김치(명호)  (9.)<br/>돈가스소스(수제)*  (1.2.5.6.11.12.13.16.18.),20220524
부산광역시,명호고등학교,스팸마요덮밥(a)  (1.2.5.6.9.10.13.16.)<br/>유부장국  (5.6.13.)<br/>통살꼬치까스  (2.5.6.12.15.16.)<br/>김치(명호)  (9.),20220525
부산광역시,명호고등학교,셀프김가루주먹밥  (5.6.13.)<br/>토마토스파게티*  (1.2.5.6.10.12.13.16.)<br/>치킨샐러드*  (1.2.5.6.13.15.18.)<br/>오이피클9봉  (13.)<br/>레몬에이드(완)  (13.),20220526
부산광역시,명호고등학교,닭갈비볶음밥  (2.5.6.13.15.16.18.)<br/>베이컨토스트  (1.2.3.4.5.6.10.12.13.16.18.)<br/>두부된장국  (5.6.13.)<br/>양배추샐러드  (1.2.5.6.12.13.)<br/>백김치(명호)  (9.),20220527
